DateTime	Tweet Id	Text	Username
2022-05-26 13:18:33+00:00	1529814244069449730	"This week on @MontgomeryCoPod, the wonderful @elleduncanESPN dazzles us with her singing voice 🔥🔥🔥🔥🔥🔥
@ReneeMontgomery @sirenagrace_ 
👑 https://t.co/VJugvf1zSM
👑 https://t.co/3S4vQsms3f https://t.co/DObLIb2mZb"	LeBatardShow
2022-05-26 03:09:44+00:00	1529661031135453185	Play Pepas #HeatIn7 https://t.co/LIudUhYCfR	LeBatardShow
2022-05-26 02:55:18+00:00	1529657400919265281	@JoelEmbiid https://t.co/UU3VgN1xQE	LeBatardShow
2022-05-26 02:52:21+00:00	1529656657374072832	Rockets missed 27 straight threes against Golden State in a Game 7. Only time I can remember shooting like this from distance. And even they weren’t missing by throwing air balls a foot short and boulders that only hit backboard. — Dan	LeBatardShow
2022-05-26 02:51:51+00:00	1529656532308312064	Same. https://t.co/NaaEjvz8Xr	LeBatardShow
2022-05-26 02:44:26+00:00	1529654664731443201	https://t.co/TJ92BC3BKh	LeBatardShow
2022-05-26 02:36:01+00:00	1529652546595348480	This game needs to end with one of these threes finishing what Oladipo started and shattering the backboard — Dan	LeBatardShow
2022-05-26 02:24:10+00:00	1529649566835933184	Not sure how much worse this basketball would be if they were all playing underwater. — Dan	LeBatardShow
2022-05-26 02:18:06+00:00	1529648037613780993	The Heat’s backcourt has made one more basket than me and @Stugotz790 in the last two games. And missed 26 more shots than us. — Dan	LeBatardShow
2022-05-26 01:50:18+00:00	1529641041833476096	Nobody believed. They’ve shocked the world. Miami now ensured that, unless there is overtime, they can’t really lose tonight. What a dizzying emotion and ride, seeing the Heat ignore all naysayers who said they couldn’t do it to go up a dominant 2-0 in victorious quarters. — Dan	LeBatardShow
2022-05-26 01:46:48+00:00	1529640161289687041	@getnickwright https://t.co/3hnRDDl1EX	LeBatardShow
2022-05-26 01:41:52+00:00	1529638918391574528	Kendall Stand Up!!! https://t.co/wNycLA5tty	LeBatardShow
2022-05-26 01:39:06+00:00	1529638222703345665	First half recap: https://t.co/LcrQue674s	LeBatardShow
2022-05-26 01:26:12+00:00	1529634976895053824	This is like watching constipation — Dan	LeBatardShow
2022-05-26 01:17:53+00:00	1529632883744378880	Such grace under huge pressure. Amazing poise. This series used to be tied 2-2, but Gabe Vincent just hit a huge clutch shot late at the end to break the tie and win the thing that matters most in this series … a quarter. — Dan	LeBatardShow
2022-05-25 23:47:48+00:00	1529610214282080257	https://t.co/4WzEBtV0CL	LeBatardShow
2022-05-25 22:27:53+00:00	1529590103928078337	Refran del dia, by Papi: “Puta Madre” isn’t exactly “Your mom is a whore.” But it is, literally translated, Whore Mother. No verbs. Sentence fragment. Soto has hit a ball so hard that the pitcher is calling his own mother this for putting him on earth to have to face Soto — Dan https://t.co/y7VP3zJ5JH	LeBatardShow
2022-05-25 21:37:34+00:00	1529577441416695808	"""I find what I would call ""the second
amendment fetishists"" to be totally
disingenuous…I find it outrageous.” - @getnickwright weighs in on the tragedies that are plaguing our nation.
🎙 https://t.co/d9EOMHOlb3
📺 https://t.co/2MdaM3y5jA https://t.co/nMVtc1pPDq"	LeBatardShow
2022-05-25 18:14:47+00:00	1529526407835131905	"🚨A Dan Le Batard Show exclusive: 🚨 @michaelianblack unleashes the sock puppet dog from https://t.co/QxyTD5cc2V 😂😂😂😂

📺 https://t.co/xqCWC2ciPb https://t.co/HNPHpq08Wf"	LeBatardShow
2022-05-25 18:01:43+00:00	1529523118888439809	"Thanks to @michaelianblack for delighting us today on the show and clarifying that he wasn't tired, just...bored 😂😂

📺 https://t.co/hIEO7pgUVF https://t.co/JK41u2Fe7Z"	LeBatardShow
2022-05-25 16:33:40+00:00	1529500962867625986	"#OTLG Fellow Notre Dame alumnae, @jessica_smetana &amp; @SkyDigg4, chop it up about ol’ South Bend, then @katefagan3 shares an “Extra, Extra” that includes shots of Jack Daniels in paper cups and the phrase “pawnshop proprietor”.
☘️ https://t.co/YP4mUDfiaG ☘️ https://t.co/1tSSbG7RMv https://t.co/oTkFGOgdXT"	LeBatardShow
2022-05-25 16:30:26+00:00	1529500149281603584	"What is the best Miami Heat-related song the team plays? How about all of them at once including @__ChrisCote attempting to sing Pepas (poorly) 😂😂😂

🎙 https://t.co/PzYMWCloEd https://t.co/0NtXqapOTj"	LeBatardShow
2022-05-25 16:08:02+00:00	1529494510010515461	"""It's always based in truth and then I punch my way out of corners I find myself in."" – @getnickwright details how the tone of his take and how he delivers it informs whether he's confident in the take or not 😂😂

🎙https://t.co/CjmSpjnarU https://t.co/jH7QGxiHr7"	LeBatardShow
2022-05-25 15:59:00+00:00	1529492238216179712	"“I went to @LIVmiami and it hurt my nipples.” - Dan recaps the trip to the nightclub that made him realize that he was, in fact, washed. 😂
🎙 https://t.co/7VAOwYjrEK 📺 https://t.co/gltS3jlsBg https://t.co/9kg4maHO0j"	LeBatardShow
2022-05-25 15:48:22+00:00	1529489559339294721	✨ Follow Us On #TikTok ✨ https://t.co/aFoJnopnL4 https://t.co/4CiL7Pl8s8	LeBatardShow
2022-05-25 13:44:30+00:00	1529458389960515587	"“There is little worse you can say about a place than that it can’t protect its most vulnerable, but it’s something we can say about America now, without dispute...When are we going to do something?” – Dan on the tragic Uvalde, Texas school shooting.

📺 https://t.co/UX80ySaB0s https://t.co/iZeNx54qVN"	LeBatardShow
2022-05-25 12:49:12+00:00	1529444471754174464	"“You’re being cute for no reason.” - The @bballilluminati shares an Inconvenient Truth about fraudulent injury reports within the NBA. @tomhaberstroh 👁 @DarthAmin 👁 @CornPuzzle #BasketballIlluminati  
🏀 https://t.co/NquC6mKFa1 👁 https://t.co/tK2Xnc7gfY https://t.co/4V0zflKlQZ"	LeBatardShow
2022-05-25 12:07:17+00:00	1529433924694327296	Tell us you don’t have ears without telling us you don’t have ears — Dan https://t.co/tfczED2K2R	LeBatardShow
2022-05-24 22:43:30+00:00	1529231645261324290	"↘️⬇️⬇️⬇️ 🏀TONIGHT 🏀⬇️⬇️⬇️↙️
@andre 🔴 Jordan Poole 🔵 @thekidet https://t.co/9wUgT2B1p0"	LeBatardShow
2022-05-24 18:55:59+00:00	1529174386644856835	He’s being a writer again … — Dan https://t.co/piwFT6e6Oy	LeBatardShow
2022-05-24 16:28:00+00:00	1529137146929549312	"“Heads need to roll right now.” - The Duke @billygil drops a Dukie Bomb on @roybelly, @__ChrisCote, and the Florida Panthers. #TimeToHunt 
🏒 https://t.co/vj0bFXyOBH
🥅 https://t.co/2MdaM3y5jA https://t.co/4MTCMQmybn"	LeBatardShow
